ZAMIR-400ML,FUNGICIDE,695,695.00,
ZINC VALAGRO-250G,MICRONUTRIENT,230,230.00,
HAPPY-10G,SEED,542,542.00,
CABBAGE SONY-10G,SEED,190,190.00,
ARYA PUMPKIN-10G,SEED,85,85.00,
VIJETA-500G,SEED,0,0.00,
GUAR MANSI-100G,SEED,48,48.00,
VESTICOR-60ML,SEED,648,648.00,
KASHIKANCHAN-100G,SEED,58,58.00,
SEFINA-1L,INCESTCIDE,2200,2200.00,
WELVART OKRA-100G,SEED,300,300.00,
SPINTOP-10G,SEED,193,193.00,
GAJA -10G,SEED,70,70.00,
OKRA SONAKSHI-1400SDS,SEED,90,90.00,
SEFINA-400ML,INCESTCIDE,1140,1140.00,
CFL 6099-2000SDS,SEED,490,490.00,
BRAS LANCE,OTHER,0,0.00,
COMBI-2-1KG,MICRONUTRIENT,1265,1265.00,
CABRIOTOP-50G,FUNGICIDE,120,120.00,
GOVERNOR-50ML,INCESTCIDE,200,200.00,
BATTRY-8AH,OTHER,640,640.00,
BATTRY-12AH,OTHER,1000,1000.00,
THAIONUTRI-500G,FUNGICIDE,80,80.00,
SAG-1KG,SEED,300,300.00,
AROOSA-50SD,SEED,31.05,31.05,
AUGUSTA-50G,SEED,863,863.00,
TRISHUL-100G,INCESTCIDE,125,125.00,
LITTLE CHAMP-50G,SEED,880,880.00,
RADISH SPEED-100G,SEED,55,55.00,
TYCHI-100ML,INCESTCIDE,350,350.00,
LIBREL-500G,MICRONUTRIENT,373,373.00,
EAGEL-10G,SEED,590,590.00,
magister-500ml,INCESTCIDE,0,0.00,
SEMPRA-2.5G,HERBICIDE,200,200.00,
TRAY-98,OTHER,17,17.00,
CABMAG-1LTR,MICRONUTRIENT,600,600.00,
MIRACULAN-100ML,PGR,46,46.00,
TRACER-75ML,INCESTCIDE,1645,1645.00,
GALILEO WAY-400ML,FUNGICIDE,771,771.00,
ROUNDUP-1L,HERBICIDE,620,620.00,
ALIETTE-100G,FUNGICIDE,318,318.00,
INTREPID-300ML,INCESTCIDE,1025,1025.00,
PUMPKIN-4007,SEED,40,40.00,
NATIVO-50G,FUNGICIDE,300,300.00,
NPK-0-0-50-25kg,WSF,2470,2470.00,
